"filename", "language", "CSS", "JSON", "JSON with Comments", "TypeScript React", "TypeScript", "Docker", "HTML", "Ignore", "YAML", "JavaScript", "comment", "blank", "total"
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Pages/Home/_Home.page.tsx", "TypeScript React", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Pages/Sudo/AppForm.tsx", "TypeScript React", 0, 0, 0, 382, 0, 0, 0, 0, 0, 0, 0, 15, 397
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Pages/Sudo/JobApplicationTracker.tsx", "TypeScript React", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 11, 193
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Pages/Sudo/_SudoPage.tsx", "TypeScript React", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Shared/Backsplash.tsx", "TypeScript React", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 3, 90
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Shared/Panel.tsx", "TypeScript React", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Terminal/Suggestions.tsx", "TypeScript React", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"/home/cjfritz/dev/projects/personal-site-v2/client/src/components/Terminal/Terminal.tsx", "TypeScript React", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 19, 311
"/home/cjfritz/dev/projects/personal-site-v2/client/src/context/Codle.context.tsx", "TypeScript React", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/home/cjfritz/dev/projects/personal-site-v2/client/src/context/Site.context.tsx", "TypeScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/home/cjfritz/dev/projects/personal-site-v2/client/src/hooks/requests.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 3, 20, 124
"/home/cjfritz/dev/projects/personal-site-v2/client/src/hooks/useCodle.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"/home/cjfritz/dev/projects/personal-site-v2/client/src/hooks/useJobApps.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 9, 42
"/home/cjfritz/dev/projects/personal-site-v2/client/src/hooks/useSnippets.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 18, 13, 107
"/home/cjfritz/dev/projects/personal-site-v2/client/src/index.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/cjfritz/dev/projects/personal-site-v2/client/src/models/Codle.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 13, 86
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/BrandColors.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/ChakraTheme.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Button.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Container.ts", "TypeScript", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 1, 15, 171
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Heading.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Icon.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Input.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Menu.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 10, 4, 51
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Tabs.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Text.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"/home/cjfritz/dev/projects/personal-site-v2/client/src/theme/components/Tooltip.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/home/cjfritz/dev/projects/personal-site-v2/client/src/utils/codle.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 61
"/home/cjfritz/dev/projects/personal-site-v2/client/src/utils/sudo.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 10, 50
"/home/cjfritz/dev/projects/personal-site-v2/client/src/utils/terminal.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 4, 69
"/home/cjfritz/dev/projects/personal-site-v2/client/tsconfig.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 71, 9, 108
"/home/cjfritz/dev/projects/personal-site-v2/cloudbuild.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"/home/cjfritz/dev/projects/personal-site-v2/package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/@types/responses.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 0, 23
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/public/asset-manifest.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/public/static/js/main.0fd804db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/public/style.css", "CSS", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 23
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/routes/api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/routes/snippets/snippets.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/routes/snippets/snippets.router.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/home/cjfritz/dev/projects/personal-site-v2/server/dist/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/home/cjfritz/dev/projects/personal-site-v2/server/package-lock.json", "JSON", 0, 2291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2292
"/home/cjfritz/dev/projects/personal-site-v2/server/package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/home/cjfritz/dev/projects/personal-site-v2/server/src/app.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 10, 36
"/home/cjfritz/dev/projects/personal-site-v2/server/src/routes/api.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/home/cjfritz/dev/projects/personal-site-v2/server/src/routes/snippets/snippets.controller.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"/home/cjfritz/dev/projects/personal-site-v2/server/src/routes/snippets/snippets.router.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/home/cjfritz/dev/projects/personal-site-v2/server/src/server.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/cjfritz/dev/projects/personal-site-v2/server/tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 70, 9, 108
"Total", "-", 26, 35844, 57, 2461, 1536, 8, 15, 4, 45, 70, 216, 467, 40749
